Year,Land cover classes,Total
2000,Natural terrestrial vegetated: Woody,24221413
2000,Natural surfaces,5396593
2000,Natural aquatic vegetated: Herbaceous,89
2000,Natural aquatic vegetated: Woody,8269
2000,Water: Perennial,319326
2000,Water: Non-perennial,587289
2000,Tidal area,11579
2001,Artificial surfaces,75184
2001,Cultivated terrestrial vegetated: Herbaceous,15382002
2001,Cultivated terrestrial vegetated: Woody,680679
2001,Natural terrestrial vegetated: Herbaceous,33087839
2001,Natural terrestrial vegetated: Woody,22018013
2001,Natural surfaces,8300749
2001,Natural aquatic vegetated: Herbaceous,88
2001,Natural aquatic vegetated: Woody,8442
2001,Water: Perennial,266564
2001,Water: Non-perennial,243730
2001,Tidal area,11571
2002,Artificial surfaces,86849
2002,Cultivated terrestrial vegetated: Herbaceous,15204195
2002,Cultivated terrestrial vegetated: Woody,252902
2002,Natural terrestrial vegetated: Herbaceous,30593646
2002,Natural terrestrial vegetated: Woody,18348167
2002,Natural surfaces,15243196
2002,Natural aquatic vegetated: Herbaceous,93
2002,Natural aquatic vegetated: Woody,8352
2002,Water: Perennial,174726
2002,Water: Non-perennial,155280
2002,Tidal area,11580
2003,Artificial surfaces,80480
2003,Cultivated terrestrial vegetated: Herbaceous,15496409
2003,Cultivated terrestrial vegetated: Woody,169546
2003,Natural terrestrial vegetated: Herbaceous,33622751
2003,Natural terrestrial vegetated: Woody,15754725
2003,Natural surfaces,14647247
2003,Natural aquatic vegetated: Herbaceous,112
2003,Natural aquatic vegetated: Woody,8362
2003,Water: Perennial,129570
2003,Water: Non-perennial,159324
2003,Tidal area,11434
2004,Artificial surfaces,100254
2004,Cultivated terrestrial vegetated: Herbaceous,14660369
2004,Cultivated terrestrial vegetated: Woody,248307
2004,Natural terrestrial vegetated: Herbaceous,33927196
2004,Natural terrestrial vegetated: Woody,16827484
2004,Natural surfaces,14001938
2004,Natural aquatic vegetated: Herbaceous,134
2004,Natural aquatic vegetated: Woody,8249
2004,Water: Perennial,154786
2004,Water: Non-perennial,141207
2004,Tidal area,11284
2005,Artificial surfaces,94602
2005,Cultivated terrestrial vegetated: Herbaceous,16786049
2005,Cultivated terrestrial vegetated: Woody,187634
2005,Natural terrestrial vegetated: Herbaceous,33794502
2005,Natural terrestrial vegetated: Woody,16674867
2005,Natural surfaces,12206403
2005,Natural aquatic vegetated: Herbaceous,149
2005,Natural aquatic vegetated: Woody,8225
2005,Water: Perennial,149001
2005,Water: Non-perennial,167995
2005,Tidal area,11224
2006,Artificial surfaces,105921
2006,Cultivated terrestrial vegetated: Herbaceous,14734135
2006,Cultivated terrestrial vegetated: Woody,121597
2006,Natural terrestrial vegetated: Herbaceous,36355500
2006,Natural terrestrial vegetated: Woody,16069453
2006,Natural surfaces,12423427
2006,Natural aquatic vegetated: Herbaceous,146
2006,Natural aquatic vegetated: Woody,8179
2006,Water: Perennial,140594
2006,Water: Non-perennial,110855
2006,Tidal area,11323
2007,Artificial surfaces,107809
2007,Cultivated terrestrial vegetated: Herbaceous,18915580
2007,Cultivated terrestrial vegetated: Woody,217956
2007,Natural terrestrial vegetated: Herbaceous,31511864
2007,Natural terrestrial vegetated: Woody,15604745
2007,Natural surfaces,13424180
2007,Natural aquatic vegetated: Herbaceous,121
2007,Natural aquatic vegetated: Woody,8249
2007,Water: Perennial,116407
2007,Water: Non-perennial,162712
2007,Tidal area,11304
2008,Artificial surfaces,92130
2008,Cultivated terrestrial vegetated: Herbaceous,11453762
2008,Cultivated terrestrial vegetated: Woody,130633
2008,Natural terrestrial vegetated: Herbaceous,32974248
2008,Natural terrestrial vegetated: Woody,15868906
2008,Natural surfaces,19150586
2008,Natural aquatic vegetated: Herbaceous,121
2008,Natural aquatic vegetated: Woody,8125
2008,Water: Perennial,150058
2008,Water: Non-perennial,240591
2008,Tidal area,11456
2009,Artificial surfaces,92130
2009,Cultivated terrestrial vegetated: Herbaceous,11453762
2009,Cultivated terrestrial vegetated: Woody,130633
2009,Natural terrestrial vegetated: Herbaceous,32974248
2009,Natural terrestrial vegetated: Woody,15868906
2009,Natural surfaces,19150586
2009,Natural aquatic vegetated: Herbaceous,121
2009,Natural aquatic vegetated: Woody,8125
2009,Water: Perennial,150058
2009,Water: Non-perennial,240591
2009,Tidal area,11456
2010,Artificial surfaces,92891
2010,Cultivated terrestrial vegetated: Herbaceous,20231431
2010,Cultivated terrestrial vegetated: Woody,375643
2010,Natural terrestrial vegetated: Herbaceous,34181215
2010,Natural terrestrial vegetated: Woody,19308036
2010,Natural surfaces,4944856
2010,Natural aquatic vegetated: Herbaceous,109
2010,Natural aquatic vegetated: Woody,8377
2010,Water: Perennial,245345
2010,Water: Non-perennial,680218
2010,Tidal area,11404
2011,Artificial surfaces,82887
2011,Cultivated terrestrial vegetated: Herbaceous,10546841
2011,Cultivated terrestrial vegetated: Woody,225088
2011,Natural terrestrial vegetated: Herbaceous,44245593
2011,Natural terrestrial vegetated: Woody,21691172
2011,Natural surfaces,2393810
2011,Natural aquatic vegetated: Herbaceous,120
2011,Natural aquatic vegetated: Woody,8364
2011,Water: Perennial,394701
2011,Water: Non-perennial,478337
2011,Tidal area,11299
2012,Artificial surfaces,101988
2012,Cultivated terrestrial vegetated: Herbaceous,16239347
2012,Cultivated terrestrial vegetated: Woody,997963
2012,Natural terrestrial vegetated: Herbaceous,34755974
2012,Natural terrestrial vegetated: Woody,24103832
2012,Natural surfaces,2812346
2012,Natural aquatic vegetated: Herbaceous,70
2012,Natural aquatic vegetated: Woody,8445
2012,Water: Perennial,433812
2012,Water: Non-perennial,612479
2012,Tidal area,11630
2013,Artificial surfaces,114554
2013,Cultivated terrestrial vegetated: Herbaceous,16004299
2013,Cultivated terrestrial vegetated: Woody,174241
2013,Natural terrestrial vegetated: Herbaceous,39653389
2013,Natural terrestrial vegetated: Woody,18668645
2013,Natural surfaces,4956325
2013,Natural aquatic vegetated: Herbaceous,120
2013,Natural aquatic vegetated: Woody,8247
2013,Water: Perennial,291230
2013,Water: Non-perennial,198393
2013,Tidal area,11441
2014,Artificial surfaces,110621
2014,Cultivated terrestrial vegetated: Herbaceous,19103927
2014,Cultivated terrestrial vegetated: Woody,272646
2014,Natural terrestrial vegetated: Herbaceous,33368721
2014,Natural terrestrial vegetated: Woody,18093231
2014,Natural surfaces,8758776
2014,Natural aquatic vegetated: Herbaceous,118
2014,Natural aquatic vegetated: Woody,8194
2014,Water: Perennial,186935
2014,Water: Non-perennial,166823
2014,Tidal area,11354
2015,Artificial surfaces,104136
2015,Cultivated terrestrial vegetated: Herbaceous,16944017
2015,Cultivated terrestrial vegetated: Woody,299694
2015,Natural terrestrial vegetated: Herbaceous,34065237
2015,Natural terrestrial vegetated: Woody,18240030
